ID,Name,Concepticon_ID,Concepticon_Gloss,Description
singhumwhistlechirp,"sing, hum, whistle, chirp",,,
strongfirm,"strong, firm",,,
tree,tree,,,
ahook,a hook,,,
stoneaxeoradze,stone axe or adze,,,
toknowunderstandperceivedivination,"to know, understand, perceive, divination",,,
cutofftopsoftaroforplanting,cut off tops of taro for planting,,,
me,me,,,
1stpluralinclusivepossessivepronounofusour,"1st plural inclusive possessive pronoun, of us, our",,,
myofme,"my, of me",,,
noon,noon,,,
faroff,far off,,,
onehundredofmenonly,"one hundred, of men only",,,
whitelimestonerockacliffofcrumblywhitelimestone,"white limestone rock, a cliff of crumbly white limestone",,,
down,down,,,
handsbreadth,hand's breadth,,,
halfpartside,"half, part, side",,,
tocarry,to carry,,,
carryunderthearm,carry under the arm,,,
basketmadeofcoconutleaf,basket made of coconut leaf,,,
dont,don't,,,
sacred,sacred,,,
tocutseverscorenotch,"to cut, sever, score, notch",,,
bellyheartmind,"belly, heart, mind",,,
tritonortrumpetshell,triton or trumpet shell,,,
father,father,,,
ground,ground,,,
sagopalm,sago palm,,,
toextendbeyondassomethingstickingout,to extend beyond as something sticking out,,,
tochopchopdownatree,"to chop, chop down (a tree)",,,
tosetanet,to set a net,,,
tochop,to chop,,,
callonaghost,call on a ghost,,,
kinbymarriage,kin by marriage,,,
bejoyful,be joyful,,,
bejoyfulonaccountof,be joyful on account of,,,
rope,rope,,,
tremble,tremble,,,
skyheavens,"sky, heavens",,,
saltwater,salt water,,,
siblingofoppositesex,sibling of opposite sex,,,
tosneeze,to sneeze,,,
beangry,be angry,,,
smoky,smoky,,,
itssmoke,its smoke,,,
toscraperub,"to scrape, rub",,,
manoftheplace,man of the place,,,
acarryingbagtohaveinabag,"a carrying bag, to have in a bag",,,
toliftup,to lift up,,,
cryweep,"cry, weep",,,
shoalofporpoises,shoal of porpoises,,,
baitworm,"bait, worm",,,
slabboard,"slab, board",,,
butterfly,butterfly,,,
roeeggyolkdregsstarchsediment,"roe, egg yolk, dregs, starch, sediment",,,
tospreadoverasgrassorweeds,to spread over (as grass or weeds),,,
toclosestuffupdam,"to close, stuff up, dam",,,
speciesofbaliatesfish,species of Baliates fish,,,
cowrie,cowrie,,,
gumofburuparinariumtreeusedtocaulkcanoestostick,"gum of _buru_ (Parinarium) tree used to caulk canoes, to stick",,,
lid,lid,,,
head,head,,,
aswamp,a swamp,,,
beinflood,be in flood,,,
forehead,forehead,,,
wind,wind,,,
dayshineon,"day, shine on",,,
theushapedgrooveattopofthemainpostinwhichtheridgepolerests,the u-shaped groove at top of the main post in which the ridgepole rests,,,
mixmingle,"mix, mingle",,,
tospreadasnews,to spread (as news),,,
toextendoverspreadsomething,"to extend, overspread (something)",,,
liedownrest,"lie down, rest",,,
drink,drink,,,
platform,platform,,,
aboveuponover,"above, upon, over",,,
four,four,,,
mutualaction,mutual action,,,
meetinghouse,meeting house,,,
rayfishstingray,"rayfish, stingray",,,
treesp,tree sp,,,
flesh,flesh,,,
stone,stone,,,
toplait,to plait,,,
tofeednourish,"to feed, nourish",,,
excrement,excrement,,,
star,star,,,
friend,friend,,,
largenetseine,"large net, seine",,,
startveryearlybeforesunrise,"start very early, before sunrise",,,
tosetoutearly,to set out early,,,
fruit,fruit,,,
tocarrysuspendedfromthehead,to carry suspended from the head,,,
tokillexterpate,"to kill, exterpate",,,
topluckpulloffasfruit,"to pluck, pull off [as fruit]",,,
frothfoam,"froth, foam",,,
tofruitabunchorclusteroffruit,"to fruit, a bunch or cluster of fruit",,,
where,where?,,,
mother,mother,,,
theyindependentpronounthemsuffixedobjectpronountheirsuffixedpossessivepronoun,"they (independent pronoun), them (suffixed object pronoun), their (suffixed possessive pronoun)",,,
topour,to pour,,,
tolook,to look,,,
tolooklookintoorfor,"to look, look into or for",,,
tolookinto,to look into,,,
noseornament,nose ornament,,,
tosplit,to split,,,
tosplitsomething,to split (something),,,
tocut,to cut,,,
pandanus,pandanus,,,
andbut,"and, but",,,
stativeprefixindicatingthatwhatisdescribedisanappearanceorconditionofbeing,stative prefix indicating that what is described is an appearance or condition of being,,,
breath,breath,,,
thinflimsy,"thin, flimsy",,,
greenblue,"green, blue",,,
wetandslippery,wet and slippery,,,
hither,hither,,,
sweetenedfreshwater,"sweetened, fresh water",,,
becomewithered,become withered,,,
ashamed,ashamed,,,
havehadenoughbefullreplete,"have had enough, be full, replete",,,
havefever,have fever,,,
toshout,to shout,,,
aspeciesofsmallredfish,a species of small red fish,,,
tostaysleepwithsomeone,"to stay, sleep with someone",,,
cutseverbreakoff,"cut, sever, break off",,,
prefixindicatinghavingavariableoscillatingorvariegatedcondition,"prefix indicating having a variable, oscillating, or variegated condition",,,
smoothslippery,"smooth, slippery",,,
manmale,"man, male",,,
waves,waves,,,
totastelick,"to taste, lick",,,
imageshapereflection,"image, shape, reflection",,,
squid,squid,,,
tosettleofbirdsstaydwell,"to settle [of birds], stay, dwell",,,
lap,lap,,,
sugarcane,sugarcane,,,
strikewithanaxe,strike with an axe,,,
six,six,,,
toswallow,to swallow,,,
swallow,swallow,,,
aspeciesoftreefromwhichbestcanoesaremade,a species of tree from which best canoes are made,,,
tochangedalter,"to changed, alter",,,
tochangedalterexchangesomething,"to changed, alter, exchange (something)",,,
threethreegeneral,"three, three (general)",,,
torise,to rise,,,
prefixofderogation,prefix of derogation,,,
tocorkshutcloseanopening,"to cork, shut, close an opening",,,
toshutcorkputthelidon,"to shut, cork, put the lid on",,,
tostopupblockchokecork,"to stop up, block, choke, cork",,,
elephantiasis,elephantiasis,,,
takeahandful,take a handful,,,
waterbetweenreefandshore,water between reef and shore,,,
leaf,leaf,,,
tosnatchseize,"to snatch, seize",,,
asmallnetspiderwebspider,"a small net, spider web, spider",,,
spidershellstrombidae,spider shell (_Strombidae_),,,
runaway,run away,,,
bewhiteglisteningsplendid,"be white, glistening, splendid",,,
looklookat,"look, look at",,,
holeofratcave,"hole [of rat], cave",,,
darkblacknight,"dark, black, night",,,
tolookfor,to look for,,,
hearlisten,"hear, listen",,,
goundergrounddisappear,"go underground, disappear",,,
toretireto,to retire to,,,
two,two,,,
house,house,,,
mindheartthoughtliverofapig,"mind, heart, thought, liver of a pig",,,
tobeckon,to beckon,,,
cloudysmoky,"cloudy, smoky",,,
fart,fart,,,
tofindpickup,"to find, pick up",,,
tolookforsearchseek,"to look for, search, seek",,,
tapwiththefinger,tap with the finger,,,
