ID,Description,Source,Name,Form_ID,Comment,Doubt
2974,"him, her, it (object pronoun)",pmr1,*-a,protomicronesian-himheritobjectpronoun-1,,false
2975,reality mode marker (suffixed to subject pronoun),pmr1,"*-a, -Ta",protomicronesian-realitymodemarkersuffixedtosubjectpronoun-1,Problems here.,false
2976,"alienable object (with possessive suffix), acquire an alienable object",pmr1,"*aa-, aa-ni-",protocentralmicronesian-alienableobjectwithpossessivesuffixacquireanalienableobject-1,,false
2977,no,pmr1,*aapʷa,protowesternmicronesian-no-1,,false
2978,crawl,pmr1,*ae₁,protomicronesian-crawl-1,_Cf._ [Proto-Central Micronesian](LanguageTable?is_proto#cldf:protocentralmicronesian) [&ast;afe](FormTable#cldf:protocentralmicronesian-swim-1) ‘swim’.,true
2979,this,pmr1,*ae₂,protomicronesian-this-1,,true
2980,coconut crab,pmr1,*afafi,protomicronesian-coconutcrab-1,,false
2981,north,pmr1,*afaŋi,protomicronesian-north-1,"_Cf._ [Kosraean](LanguageTable#cldf:kosraean) _epaŋ_ glossed as ‘south’ in dictionary looks like a loan (_p_ unexpected, see [Proto-Pohnpeic-Chuukic](LanguageTable?is_proto#cldf:protopohnpeicchuukic) _&ast;aúrú_ ‘south’). _Cf._ [Marck’s (1994:310/323)](Source#cldf:marck1994) [Proto-Pohnpeic-Chuukic](LanguageTable?is_proto#cldf:protopohnpeicchuukic) _&ast;faŋi_ ‘dry season’.",false
2982,shoulder,pmr1,*afara,protomicronesian-shoulder-1,"There appears to have been corruption of the word for ‘shoulder carrying pole’ and its reinterpretation as ‘shoulder’ in [Mortlockese](LanguageTable#cldf:mortlockese), [Puluwatese](LanguageTable#cldf:puluwatese), and [Saipan Carolinian](LanguageTable#cldf:saipancarolinian).",false
2983,swim,pmr1,*afe,protocentralmicronesian-swim-1,_Cf._ [Proto-Micronesian](LanguageTable?is_proto#cldf:protomicronesian) [&ast;ae₁](FormTable#cldf:protomicronesian-crawl-1) ‘crawl’.,false
2986,carry on the hip or under the arm,pmr1,"*afi, afi-Si-",protomicronesian-carryonthehiporunderthearm-1,_Cf._ [Proto-Chuukic](LanguageTable?is_proto#cldf:protochuukic) _&ast;api_.,false
2984,fire,pmr1,*afi₁,protomicronesian-fire-1,,false
2985,pull on a line,pmr1,*afi₂,protomicronesian-pullonaline-1,,false
2987,passive suffix,pmr1,*-aki,protomicronesian-passivesuffix-1,Reflexes of this suffix that have been recorded for [Chuukese](LanguageTable#cldf:chuukese) (see examples under [Proto-Micronesian](LanguageTable?is_proto#cldf:protomicronesian) [&ast;-aki-ni](FormTable#cldf:protomicronesian-passivesuffix-2) below) all have it followed by reflexes of _&ast;-ni_. See the statement about [Chuukese](LanguageTable#cldf:chuukese) _-ási_ (_-esi_) in [Goodenough and Sugita 1980](Source#cldf:goodenoughandsugita1980).,false
2989,"to hide, hidden",pmr1,"*aki, akiaki",protowesternmicronesian-tohidehidden-1,,true
2988,passive suffix,pmr1,*-aki-ni,protomicronesian-passivesuffix-2,,false
2990,tie together,pmr1,*ako,protomicronesian-tietogether-1,,false
2991,steer a boat,pmr1,"*ako, akoako",protomicronesian-steeraboat-1,,false
2992,"path, road",pmr1,*ala₁,protomicronesian-pathroad-1,See also [Marck (1994:321)](Source#cldf:marck1994) [Proto-Micronesian](LanguageTable?is_proto#cldf:protomicronesian) &ast;_ala_.,false
2993,"to take, get",pmr1,*ala₂,protomicronesian-totakeget-1,,false
2994,long,pmr1,"*ala[iu], alala[iu]",protomicronesian-long-1,,false
2995,kind of coral,pmr1,*ale,protocentralmicronesian-kindofcoral-1,_Cf._ [Proto-Central Micronesian](LanguageTable?is_proto#cldf:protocentralmicronesian) [&ast;laxa](FormTable#cldf:protocentralmicronesian-kindofcoral-2) ‘kind of coral’ and [Proto-Micronesian](LanguageTable?is_proto#cldf:protomicronesian) _laZe ?_ ‘kind of coral’.,false
2996,"to reckon, sing",pmr1,*alele,protomicronesian-toreckonsing-1,"There is no basis for relating [Gilbertese](LanguageTable#cldf:gilbertese) _anene_ to [Proto-Eastern Oceanic](LanguageTable?is_proto#cldf:protoeasternoceanic) _&ast;taReRe_ ‘rejoice’, as suggested by [Geraghty (1990)](Source#cldf:geraghty1990). _Cf._ also [Proto-Pohnpeic-Chuukic](LanguageTable?is_proto#cldf:protopohnpeicchuukic) ? _&ast;kaúlú_ ‘sing, song’ and [Proto-Chuukic](LanguageTable?is_proto#cldf:protochuukic) _&ast;alle_ ‘count, enumerate’. There may be two different roots here.",false
2997,"circle, circling, dizzy",pmr1,"*-ali, -aliali, mʷa-aliali",protowesternmicronesian-circlecirclingdizzy-1,"See also [Proto-Chuukic](LanguageTable?is_proto#cldf:protochuukic) _&ast;ka-falli_ ‘be careful of, attend to’, [Proto-Chuukic](LanguageTable?is_proto#cldf:protochuukic) _&ast;mʷaali_ ‘confused, mistaken’.",false
2998,mangrove crab,pmr1,*ali-maŋo,protomicronesian-mangrovecrab-1,_Cf._ [Kosraean](LanguageTable#cldf:kosraean) _εi_ ‘crab’ where we would expect &ast;_εl_.,false
2999,beard,pmr1,*al[iu]ta,protomicronesian-beard-1,"Note [Pulo-Annan](LanguageTable#cldf:puloannan) _d_ instead of expected _t_, there may be a problem here.",false
3000,sun,pmr1,*alo,protomicronesian-sun-1,"[Yapese](LanguageTable#cldf:yapese) _yaal’_ ‘sun’ is probably a loan from [Ulithian](LanguageTable#cldf:ulithian). See also [Proto-Chuukic](LanguageTable?is_proto#cldf:protochuukic) _&ast;yalle-pʷuta_ ‘a tree (_Pittosporum_)’ and cf. [Proto-Chuukic](LanguageTable?is_proto#cldf:protochuukic) _&ast;yaado_ ‘legendary woman’, [Proto-Micronesian](LanguageTable?is_proto#cldf:protomicronesian) [&ast;a⎣sS⎦o](FormTable#cldf:protomicronesian-time-1) ‘time’.",false
3001,"to wave, beckon",pmr1,"*alo, aloalo, alo-[fØ]i",protomicronesian-towavebeckon-1,The [Mokilese](LanguageTable#cldf:mokilese) form appears to be a loan from [Marshallese](LanguageTable#cldf:marshallese).,false
3002,"undercooked, raw",pmr1,*amata,protocentralmicronesian-undercookedraw-1,,false
3003,pertaining to nurture,pmr1,*amʷa,protocentralmicronesian-pertainingtonurture-1,,false
3004,to wash ones hands,pmr1,"*[aØ]mʷi, [aØ]mʷi ni",protomicronesian-towashoneshands-1,There may be loans here.,true
3005,bunch or cluster of nuts,pmr1,*amʷii,protocentralmicronesian-bunchorclusterofnuts-1,Could be loans in [Pohnpeian](LanguageTable#cldf:pohnpeian) and [Pingilapese](LanguageTable#cldf:pingilapese) from [Gilbertese](LanguageTable#cldf:gilbertese).,false
3006,"to wish, need",pmr1,*aneane,protomicronesian-towishneed-1,,false
3007,"god, spirit",pmr1,*anitu,protomicronesian-godspirit-1,See also [Proto-Chuukic](LanguageTable?is_proto#cldf:protochuukic) _&ast;faúrú-anútú_ ‘recite a spell’.,false
3008,"small, uninhabited island",pmr1,*anu[sS]a,protomicronesian-smalluninhabitedisland-1,"_Cf._ also [Proto-Micronesian](LanguageTable?is_proto#cldf:protomicronesian) [&ast;fanua](FormTable#cldf:protomicronesian-inhabitedland-1) ‘inhabited land’, and [Marck’s (1994:307)](Source#cldf:marck1994) _&ast;anu[sz]a_ ‘small island’.",false
3009,"to have or take in hand, to handle",pmr1,*aŋa₁,protomicronesian-tohaveortakeinhandtohandle-1,,false
3010,spider shell (_Strombidae_),pmr1,*aŋa₂ or *yaŋa,protomicronesian-spidershellstrombidae-1,,false
3011,wind,pmr1,"*aŋi, aŋiaŋi",protomicronesian-wind-1,See also [Marck (1994:310)](Source#cldf:marck1994) [Proto-Micronesian](LanguageTable?is_proto#cldf:protomicronesian) _&ast;aŋi_.,false
3012,"curcuma, turmeric, ginger, yellow",pmr1,*aŋo,protomicronesian-curcumaturmericgingeryellow-1,_Cf._ [Proto-Micronesian](LanguageTable?is_proto#cldf:protomicronesian) [&ast;reŋa](FormTable#cldf:protomicronesian-turmericcolor-1) ‘turmeric color’; [Proto-Chuukic](LanguageTable?is_proto#cldf:protochuukic) _&ast;yaloyalo_.,false
3013,make alignment,pmr1,*apara,protowesternmicronesian-makealignment-1,Note that [Chuukese](LanguageTable#cldf:chuukese) seems to have reinterpreted this form as having a causative prefix and derived the secondary forms marked # accordingly. The [Woleaian](LanguageTable#cldf:woleaian) and [Marshallese](LanguageTable#cldf:marshallese) forms cannot be understood as having a causative prefix.,false
3014,a fish,pmr1,*apili,protomicronesian-afish-1,,false
3015,"person, people",pmr1,*ara-mata,protomicronesian-personpeople-1,"See [Proto-Micronesian](LanguageTable?is_proto#cldf:protomicronesian) _ara-mata mata,_ ‘person, people’.",false
3016,"haul, pull, tow",pmr1,"*are, are-ki",protomicronesian-haulpulltow-1,"The following forms would indicate a low stem vowel instead, as [Proto-Micronesian](LanguageTable?is_proto#cldf:protomicronesian) _&ast;ara:_.",false
3017,"coconut cream, scraped coconut meat",pmr1,*ar[eo]ŋu,protocentralmicronesian-coconutcreamscrapedcoconutmeat-1,,false
3018,to scoop up,pmr1,*ari,protomicronesian-toscoopup-1,"Rounding in [Marshallese](LanguageTable#cldf:marshallese) forms unexplained; possible contamination by reflexes of [Proto-Micronesian](LanguageTable?is_proto#cldf:protomicronesian) _aru_, which are now near homonyms with [Marshallese](LanguageTable#cldf:marshallese) reflexes cited here. Semantics of [Saipan Carolinian](LanguageTable#cldf:saipancarolinian) form help explain possible confusion between these two etyma, [Proto-Micronesian](LanguageTable?is_proto#cldf:protomicronesian) _&ast;ari_ and _&ast;aru_.",false
3019,"shore, beach, vicinity",pmr1,*aro-,protomicronesian-shorebeachvicinity-1,"_Cf._ [Proto-Micronesian](LanguageTable?is_proto#cldf:protomicronesian) [&ast;Soru-](FormTable#cldf:protomicronesian-nearbeside-1) ‘near, beside’.",false
3020,"a Carangid fish, pompano, skipjack",pmr1,*aroŋo,protomicronesian-acarangidfishpompanoskipjack-1,,false
3021,to stir,pmr1,"*aru, aruaru, aru-ti-",protomicronesian-tostir-1,"Note that the initial _g_ of the [Woleaian](LanguageTable#cldf:woleaian) _garusu_ is unexpected, unless the form is a misrendering of _&ast;(ga)-aru-su_ with a causative prefix.",false
3023,"to grate, scrape",pmr1,*a[sS]a,protomicronesian-togratescrape-1,,false
3024,"jaw, chin",pmr1,*a[sS]e,protomicronesian-jawchin-1,"Note the expected [Chuukese](LanguageTable#cldf:chuukese) forms are &ast;_áát_, &ast;_áti-n_.",false
3022,"gallbladder, gall",pmr1,*asi,protomicronesian-gallbladdergall-1,,false
3025,"spathe, unopened bud",pmr1,*asi,protocentralmicronesian-spatheunopenedbud-1,,false
3026,time,pmr1,*a[sS]o,protomicronesian-time-1,_Cf._ [Proto-Micronesian](LanguageTable?is_proto#cldf:protomicronesian) [&ast;alo](FormTable#cldf:protomicronesian-sun-1) ‘sun’.,false
3027,smoke,pmr1,*a[sS]u,protomicronesian-smoke-1,See also [Marck (1994:324)](Source#cldf:marck1994) [Proto-Micronesian](LanguageTable?is_proto#cldf:protomicronesian) _&ast;asu_.,false
3028,kind of crab,pmr1,*aSiŋi,protomicronesian-kindofcrab-1,,false
3029,"upper part, top",pmr1,*ata,protomicronesian-upperparttop-1,See [Marck (1994:323)](Source#cldf:marck1994) [Proto-Micronesian](LanguageTable?is_proto#cldf:protomicronesian) _&ast;ata_.,false
3030,to know,pmr1,*ata-i-,protomicronesian-toknow-1,,false
3031,child,pmr1,*atarei,protocentralmicronesian-child-1,_Cf._ [Proto-Micronesian](LanguageTable?is_proto#cldf:protomicronesian) [&ast;tari](FormTable#cldf:protomicronesian-child-1) ‘child’.,true
3032,liver,pmr1,*ate,protomicronesian-liver-1,,false
3033,"tuna, bonito",pmr1,*atu,protomicronesian-tunabonito-1,"The _&ast;l_ of the [Proto-Chuukic](LanguageTable?is_proto#cldf:protochuukic) reconstruction depends entirely on the [Puluwatese](LanguageTable#cldf:puluwatese) and [Saipan Carolinian·T](LanguageTable#cldf:saipancaroliniant) forms, which may result from loans.",false
3034,thatch,pmr1,*aTo,protomicronesian-thatch-1,,false
3035,me (suffixed object pronoun),pmr1,*-au,protomicronesian-mesuffixedobjectpronoun-1,,false
3036,"appearance, condition, shape",pmr1,*au-,protocentralmicronesian-appearanceconditionshape-1,This does not seem to be cognate with [Proto-Eastern Oceanic](LanguageTable?is_proto#cldf:protoeasternoceanic) _&ast;[qØ]aRu_ ‘dew’ [Geraghty 1990](Source#cldf:geraghty1990). See also Loans: [Chuukese](LanguageTable#cldf:chuukese) _éwú-ni-yár_.,false
3037,kind of fish,pmr1,*aua,protomicronesian-kindoffish-1,,false
3235,"blanket, coverlet",pmr1,*[ao]ut[ae],protomicronesian-blanketcoverlet-1,Note that [Gilbertese](LanguageTable#cldf:gilbertese) _(te)-kouti_ ‘small mat worn over the shoulders’ appears to be loan from English coat,false
3038,fishline,pmr1,*awo,protomicronesian-fishline-1,,false
3039,current,pmr1,"*ayu, ayuSa",protomicronesian-current-1,,false
