PPC	*adoola	‘variety of sweet-husked coconut palm’	Chk atoon, ótoon; Pul yótool, yótoolá-(n); Crl atool; Wol atoole; PCk *adoola; Pon adool	Cf. Yap waqthoel, waqtoel, waqtool ‘a type of tree’.		
PPC	*-ali	‘strand, thin piece (counting classifier)’	Pul yaal ‘necklace, belt’, -el, -ál ‘s. or string (in counting)’; Crl áál, áli-(l) ‘s. of head hair, s. of’, -yál ‘long thin object such as string, hair (in counting)’; Wol yaali, yan-(ni)- ‘hair, thread, thin object, h. of’, -yali, -yeli ‘thin piece, sheet, or leaf (in counting)’; PuA yaani, yani- ‘s. of hair’, -yani ‘thin piece (in counting)’; PCk *yaali, yali-; Pon -ɛl ‘garland (in counting)’.			
PPC	*aúrú	‘south’	Chk éér, éérú-(n) ‘s., in the s., s. of’, (notowa)-ar ‘southwest’, (éétiwé)ér ‘southeast’, éwúr ‘spirit world in the s. or southern sky (source of bountiful fruit and fish)’; Mrt yéér; Pul éér, éérú-n ‘to be the southwind, be at the s., southwind, s. of’, (lotow) yéér ‘be west southwest’, (yéétiw) yééR ‘be east southeast’; Crl éér; Stw yéér; Wol (i)-yaúrú ‘s.’, yaúrú-(lape) ‘s.’, (letowa)-are ‘west southwest’, (gootuwa)-are ‘east southeast’; PuA (katúwa)ala ‘southeast’; PCk *yaúrú, -ar[úa]; Pon (pali)-eyr; Png (pali)-ɛyr, (pali)-eyr.			Ksr ɛir, glossed as ‘north’ in dictionary, is a probable loan (see PMc *afaŋi ‘north’). Marck (1994:323) reconstructs PMc *auru, including the Ksr forms whose r is unexpected.
PPC	*awa1	‘mouth’	Chk aaw, awa-(n), awe-(n) ‘m., his m., m. of’; Mrt awa-(n); Pul yaawo (sic), yewá-(y) ‘m., my m.’; Crl aaw, awa-(l); Stw yaaw, yewa-(n); Wol yaawe, yewa(le); PuA yaawa, yawa-; PCk *aawa, awa-; Pon aaw, ɛwɛ; Mok aw, ɔwɔ; Png aw, ɛwɛ.	Cf. Ksr oali-(k) ‘my m.’; Saa wawa ‘m.’; Bug aa ‘open m.’		
PPC	*awa2	‘banyan tree (Ficus carolinensis)’	Chk aaw; Crl aaw, ghili-aw ‘b. t. (F. virens)’; Stw aaw; Wol (gili)-yawe ‘a t. (F. prolixa)’; PCk *awa; Pon (ay)-aw; Mok aw.	Cf. PEO *qayaoa (Geraghty 1983); Fij yayawa, yacawa ‘kind of b. t.’. @Cf. Yap qaaw ‘type of b. t.’ |This may well be a loan from Yap. @Cf. PCk *kawannú.		
PPC	*ayita	‘Parinarium tree’	Chk ayis, eyis; Pul yááyih (sic); Wol yaise ‘a tree with fragrant fruit’; PCk *ayita; Pon ays; Mok ayj ‘tree sp’.			
PPC	*caú-ni-lúkú, lúkú	‘bird’s nest fern’	Chk nnúk, nnúkú-(n) ‘b. n. f., f. of’; Mrt llék; Pul and Stw Réé-l-lúk; Crl shéé-l-lúgh; Crn Reyú-l-lug; Wol shéé-n-núgú; PCk *caú-nilúkú, lúkú; Pon tɛɛ-n-lik.	Cf. Ksr (mʌ)-liklik ‘a kind of plant’.		
PPC	*cee, ceecee	‘move quickly’	Chk che, chche ‘be in motion’, cheeche ‘be in continuing motion, be moving fast’, chee-(nó) ‘run off, hurry’, che-(kkáy) ‘hurry’; Wol chchee ‘to escape, flee’; PCk *cee; Pon tɛɛtɛɛ-(n likamwada) ‘expression used when another attempts to cover up embarrassment (likamwada)’.		Cf. PMc *cece, cecece ‘shake, tremble’, PCk *cééú ‘continuously widespread’, PCk *caka-i-, ccaka-i- ‘chase, pursue’.	
PPC	*cepe, cepe-ki	‘kick’	Chk chchep ‘kicking with the feet, be kicked’, chepe-ti ‘k. it’; Pul Repe-ti-(y), Ripe-ti-y ‘k. it’; Crl shep, shepe-ti; Crn Rip, Ripi-ti; Wol shepe ‘k. with the feet’, shepe-gi-(i) ‘k. it’; PuA sepesepe ‘k.’, sepe-ki ‘k. it’; PCk *cepe, cepe-(kt)i-; Pon tɛp, tɛpɛ-k.			
PPC	*ci[ae]	‘companion’	Chk chiyechi ‘c., friend, be companions’, chiye-na-(n) ‘his c., chiye-ne-(ni) ‘acquire as a c.’; Pul Riye-ná- ‘c.’; Wol shiye-la- ‘c.’, shiye-li-(i) ‘accompany him’; PCk *ci[ae], ci[ae]-na, ci[ae]-ni; Pon tiɛ-(kɛpɛ) ‘child of a chief (honorific) (“thigh c.”)’.			
PPC	? *[cd]iki	‘fragrant’	PuA tikitiki ‘fragrance, f.’; Pon pwoo-tik ‘f’.			
