Grapheme	IPA	Frequence	Codepoints
l	l	292	U+006c
k	k	257	U+006b
-	NULL	243	U+002d
s	s	202	U+0073
t	t	196	U+0074
ʌ	ʌ	179	U+028c
i	i	174	U+0069
e	e	169	U+0065
o	o	169	U+006f
r	r	159	U+0072
a	a	152	U+0061
n	n	148	U+006e
u	u	137	U+0075
æ	æ	136	U+00e6
p	p	132	U+0070
f	f	106	U+0066
m	m	104	U+006d
ɨ	ɨ	103	U+0268
ɛ	ɛ	86	U+025b
ŋ	ŋ	84	U+014b
ɔ	ɔ	71	U+0254
y	y	62	U+0079
w	w	43	U+0077
ɒ	ɒ	26	U+0252
tw	tw	26	U+0074 U+0077
_	_	21	U+005f
mʷ	mʷ	20	U+006d U+02b7
rʷ	rʷ	8	U+0072 U+02b7
.	NULL	7	U+002e
ə	ə	6	U+0259
kʷ	kʷ	6	U+006b U+02b7
lʷ	lʷ	5	U+006c U+02b7
#	_	4	U+0023
nw	nw	4	U+006e U+0077
ŋʷ	ŋʷ	4	U+014b U+02b7
h	h	4	U+0068
fw	fw	3	U+0066 U+0077
ee	ee	2	U+0065 U+0065
mw	mw	2	U+006d U+0077
ii	ii	2	U+0069 U+0069
ll	ll	2	U+006c U+006c
ɒɒ	ɒɒ	2	U+0252 U+0252
pʷ	pʷ	2	U+0070 U+02b7
rr	rr	2	U+0072 U+0072
rs	rs	2	U+0072 U+0073
ls	ls	2	U+006c U+0073
ps	ps	2	U+0070 U+0073
?	<?>	2	U+003f
kw	kʷ	2	U+006b U+0077
lw	lw	2	U+006c U+0077
nn	nn	1	U+006e U+006e
ŋs	ŋs	1	U+014b U+0073
sh	sh	1	U+0073 U+0068
Ø	<?>	1	U+00d8
V	<?>	1	U+0056
ms	ms	1	U+006d U+0073
'i	i	1	U+0027 U+0069
*w	<?>	1	U+002a U+0077
<	<?>	1	U+003c
*	<?>	1	U+002a
hs	hs	1	U+0068 U+0073
